,Time (ms),VConstant (v),VSpike (v),Temperature (C)
0,33.0,0.0,0.0,22.75
1,546.0,0.0,0.0,22.75
2,548.0,0.0,0.0,22.75
3,550.0,0.0,0.0,22.75
4,552.0,0.0,0.0,22.75
5,555.0,0.0,0.0,22.75
6,557.0,0.0,0.0,22.75
7,559.0,0.0,0.0,22.75
8,561.0,0.0,0.0,22.75
9,563.0,0.0,0.0,22.75
10,565.0,0.0,0.0,22.75
11,567.0,0.0,0.0,22.75
12,569.0,0.0,0.0,22.75
13,571.0,0.0,0.0,22.75
14,573.0,0.0,0.0,22.75
15,575.0,0.0,0.0,22.75
16,577.0,0.0,0.0,22.75
17,579.0,0.0,0.0,22.75
18,581.0,0.0,0.0,22.75
19,583.0,0.0,0.0,22.75
20,585.0,0.0,0.0,22.75
21,587.0,0.0,0.0,22.75
22,589.0,0.0,0.0,22.75
23,591.0,0.0,0.0,22.75
24,593.0,0.0,0.0,22.75
25,595.0,0.0,0.0,22.75
26,598.0,0.0,0.0,22.75
27,600.0,0.0,0.0,22.75
28,602.0,0.0,0.0,22.75
29,604.0,0.0,0.0,22.75
30,606.0,0.0,0.0,22.75
31,608.0,0.0,0.0,22.75
32,610.0,0.0,0.0,22.75
33,612.0,0.0,0.0,22.75
34,614.0,0.0,0.0,22.75
35,616.0,0.0,0.0,22.75
36,618.0,0.0,0.0,22.75
37,620.0,0.0,0.0,22.75
38,622.0,0.0,0.0,22.75
39,624.0,0.0,0.0,22.75
40,626.0,0.0,0.0,22.75
41,628.0,0.0,0.0,22.75
42,630.0,0.0,0.0,22.75
43,632.0,0.0,0.0,22.75
44,634.0,0.0,0.0,22.75
45,636.0,0.0,0.0,22.75
46,638.0,0.0,0.0,22.75
47,641.0,0.0,0.0,22.75
48,643.0,0.0,0.0,22.75
49,645.0,0.0,0.0,22.75
50,647.0,0.0,0.0,22.75
51,649.0,0.0,0.0,22.75
52,651.0,0.0,0.0,22.75
53,653.0,0.0,0.0,22.75
54,655.0,0.0,0.0,22.75
55,657.0,0.0,0.0,22.75
56,659.0,0.0,0.0,22.75
57,661.0,0.0,0.0,22.75
58,663.0,0.0,0.0,22.75
59,665.0,0.0,0.0,22.75
60,667.0,0.0,0.0,22.75
61,669.0,0.0,0.0,22.75
62,671.0,0.0,0.0,22.75
63,673.0,0.0,0.0,22.75
64,675.0,0.0,0.0,22.75
65,677.0,0.0,0.0,22.75
66,679.0,0.0,0.0,22.75
67,681.0,0.0,0.0,22.75
68,684.0,0.0,0.0,22.75
69,686.0,0.0,0.0,22.75
70,688.0,0.0,0.0,22.75
71,690.0,0.0,0.0,22.75
72,692.0,0.0,0.0,22.75
